"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CENTRE","ZONE","REFINT","ETATPIDICOMP","DTPASSPIDICOMP","HEUREPASSPIDICOMP","DTETATPIDICOMP","HEURETATPIDICOMP","DTPREMPLG","HRPREMPLG","FTTH_IMM_OP","FTTH_TYPE_RAC","FTTH_TYPE_SITE","FTTH_ADDUCTABILITE","LIBMATFTTH","REMMATFTTH","REFOCEANE","DISPOSITIF_SPX"
"IQSFTH","299783842","22805592","","SUD","621","45529340","TA","4/26/2023","17:45","4/26/2023","17:45","5/15/2023","10:00","FT","quadri-fibre","","","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","297701905","22841127","","PLM","4","47366100","","","","","","6/9/2023","13:00","","","","","","","",""
"IQPFTH","299888170","22747932","","CCA","0","46905106","TA","4/3/2023","16:45","4/3/2023","16:45","6/15/2023","13:00","FT","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD\LIVEBOX:Livebox 6","Remis au client\Remis au client","",""
"IQPFTH","299201422","22819341","","CCA","3","47255123","TA","5/4/2023","13:51","5/4/2023","13:51","5/15/2023","8:00","FT","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","298195093","22796748","","LNM","0","47144144","TA","4/25/2023","14:47","4/25/2023","14:47","5/10/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur Livebox Play TV","Deja detenu","",""
"IQPFTH","297449706","22828028","","CPO","0","47297810","TA","5/10/2023","10:46","5/10/2023","10:46","6/3/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","297264399","22808762","","CPO","0","47203904","TA","5/8/2023","8:06","5/8/2023","8:06","5/22/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Deja detenu","",""
"IQLFTH","297085780","22774080","","PTY","0","47031193","TA\TC\TR","16/04/2023\02/05/2023\03/05/2023","19:45\16:53\11:38","16/04/2023\02/05/2023\03/05/2023","19:45\16:53\11:38","5/3/2023","10:00","THDB","mono-fibre","Immeuble","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison a domicile\Deja detenu","",""
"IQPFTH","297702390","22819342","","MLT","7","47255126","TA","5/5/2023","8:14","5/5/2023","8:14","6/1/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur Livebox Play TV","Deja detenu","",""
"IQPFTH","299624021","22827753","","CGN","4","46700228","TA","5/6/2023","9:50","5/6/2023","9:50","5/23/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur TV UHD","Livraison en point relais\Livraison en point relais","",""
